Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
0; 4.327; 4.336; 0.001; 0.0; 0.8476; 302.03580688126493;
100; 2.97; 3.068; 0.001; 0.0; 0.5978; 428.2664058692189;
200; 2.658; 2.801; 0.001; 0.0; 0.6452; 396.77867729333354;
300; 2.512; 2.642; 0.001; 0.0; 0.5933; 431.50426001931385;
400; 2.455; 2.611; 0.001; 0.0; 0.6281; 407.55680559572636;
500; 2.389; 2.58; 0.001; 0.0; 0.5996; 426.95107650146764;
600; 2.348; 2.543; 0.001; 0.0; 0.5952; 430.1324653838373;
700; 2.381; 2.457; 0.001; 0.0; 0.6043; 423.61843080675317;
800; 2.362; 2.443; 0.001; 0.0; 0.5899; 433.96132369820714;
900; 2.362; 2.406; 0.001; 0.0; 0.6066; 422.0368069994772;
1000; 2.37; 2.409; 0.001; 0.0; 0.5966; 429.09886912854404;
1100; 2.356; 2.381; 0.001; 0.0; 0.6011; 425.8571837646736;
1200; 2.343; 2.368; 0.001; 0.0; 0.5997; 426.8487308135252;
1300; 2.33; 2.347; 0.001; 0.0; 0.6026; 424.7924085507456;
1400; 2.311; 2.346; 0.001; 0.0; 0.5977; 428.31201855667223;
1500; 2.298; 2.33; 0.001; 0.0; 0.6237; 410.44392270789933;
1600; 2.302; 2.337; 0.001; 0.0; 0.6102; 419.55134878726756;
1700; 2.333; 2.381; 0.001; 0.0; 0.6164; 415.34332434237933;
1800; 2.289; 2.263; 0.001; 0.0; 0.6711; 381.4900248703191;
1900; 2.286; 2.27; 0.001; 0.0; 0.5903; 433.7027791522182;
2000; 2.264; 2.254; 0.001; 0.0; 0.6008; 426.10966906255555;
2100; 2.281; 2.275; 0.001; 0.0; 0.5919; 432.50819767879796;
2200; 2.239; 2.239; 0.001; 0.0; 0.6086; 420.66099773908905;
2300; 2.256; 2.236; 0.001; 0.0; 0.6029; 424.6477617382631;
2400; 2.254; 2.253; 0.001; 0.0; 0.6185; 413.8971129709694;
2500; 2.257; 2.267; 0.001; 0.0; 0.5929; 431.80168700523393;
2600; 2.251; 2.251; 0.001; 0.0; 0.5957; 429.7145089131172;
2700; 2.244; 2.258; 0.001; 0.0; 0.5982; 427.97160997070836;
2800; 2.192; 2.225; 0.001; 0.0; 0.5954; 429.9719345821001;
2900; 2.16; 2.206; 0.001; 0.0; 0.5986; 427.69732142928274;
3000; 2.162; 2.205; 0.001; 0.0; 0.6129; 417.678272278905;
3100; 2.159; 2.204; 0.001; 0.0; 0.6603; 387.6749737155269;
3200; 2.202; 2.27; 0.001; 0.0; 0.5931; 431.6133615249182;
3300; 2.155; 2.217; 0.001; 0.0; 0.638; 401.2440150192524;
3400; 2.159; 2.16; 0.001; 0.0; 0.599; 427.39173980312165;
3500; 2.166; 2.176; 0.001; 0.0; 0.6051; 423.0604570309145;
3600; 2.177; 2.184; 0.001; 0.0; 0.5982; 427.97212171360746;
3700; 2.162; 2.161; 0.001; 0.0; 0.5982; 427.9496061837246;
3800; 2.185; 2.197; 0.001; 0.0; 0.5976; 428.35712829588164;
3900; 2.191; 2.074; 0.001; 0.0; 0.6045; 423.48159699626507;
4000; 2.014; 2.106; 0.001; 0.0; 0.5894; 434.31923667635965;
4100; 1.998; 2.122; 0.001; 0.0; 0.5959; 429.6017242614095;
4200; 1.998; 2.143; 0.001; 0.0; 0.5997; 426.8480520673119;
4300; 2.009; 2.163; 0.001; 0.0; 0.5996; 426.921538877491;
4400; 1.994; 2.186; 0.001; 0.0; 0.5974; 428.5436485256789;
4500; 1.985; 2.175; 0.001; 0.0; 0.6021; 425.149154347641;
4600; 2.093; 2.189; 0.001; 0.0; 0.6043; 423.6567066304407;
4700; 2.077; 2.192; 0.001; 0.0; 0.6123; 418.0936435653974;
4800; 2.081; 2.162; 0.001; 0.0; 0.5997; 426.8663789727698;
4900; 2.098; 2.181; 0.001; 0.0; 0.6327; 404.6189747112628;
5000; 2.117; 2.156; 0.001; 0.0; 0.6196; 413.1886686738457;
5100; 2.131; 2.162; 0.001; 0.0; 0.6728; 380.48116714616225;
5200; 2.115; 2.153; 0.001; 0.0; 0.5962; 429.3844026402693;
5300; 2.132; 2.199; 0.001; 0.0; 0.6446; 397.1346994994308;
5400; 2.133; 2.188; 0.001; 0.0; 0.6455; 396.60573968133895;
5500; 2.13; 2.184; 0.001; 0.0; 0.6299; 406.3883501245384;
5600; 2.155; 2.21; 0.001; 0.0; 0.5927; 431.8880071178099;
5700; 2.114; 2.115; 0.001; 0.0; 0.5963; 429.3064609764952;
5800; 2.113; 2.123; 0.001; 0.0; 0.6016; 425.54967128886153;
5900; 2.127; 2.135; 0.001; 0.0; 0.5979; 428.1303089060953;
6000; 2.126; 2.127; 0.001; 0.0; 0.5874; 435.79359846291027;
6100; 2.132; 2.168; 0.001; 0.0; 0.592; 432.4440955778202;
6200; 2.113; 2.142; 0.001; 0.0; 0.6022; 425.1035395805587;
6300; 2.13; 2.162; 0.001; 0.0; 0.5953; 430.0315167942854;
6400; 2.14; 2.173; 0.001; 0.0; 0.6061; 422.400236663951;
6500; 2.152; 2.176; 0.001; 0.0; 0.6088; 420.47682885806825;
6600; 2.142; 2.172; 0.001; 0.0; 0.6355; 402.83652497342854;
6700; 2.115; 2.161; 0.001; 0.0; 0.6011; 425.8700205053762;
6800; 2.045; 2.122; 0.001; 0.0; 0.607; 421.734122644948;
6900; 2.055; 2.144; 0.001; 0.0; 0.6092; 420.2518610596651;
7000; 2.058; 2.125; 0.001; 0.0; 0.6067; 421.98638471931946;
7100; 2.058; 2.135; 0.001; 0.0; 0.695; 368.35534185351304;
7200; 2.083; 2.165; 0.001; 0.0; 0.5949; 430.3357121043186;
7300; 2.065; 2.078; 0.001; 0.0; 0.603; 424.55726060719167;
7400; 2.071; 2.082; 0.001; 0.0; 0.6222; 411.46406985994594;
7500; 2.093; 2.117; 0.001; 0.0; 0.598; 428.0850762525496;
7600; 2.073; 2.073; 0.001; 0.0; 0.648; 395.09138188287545;
7700; 2.077; 2.093; 0.001; 0.0; 0.6116; 418.6069216962257;
7800; 2.107; 2.011; 0.001; 0.0; 0.6245; 409.9175898074718;
7900; 1.937; 2.034; 0.001; 0.0; 0.6044; 423.53488317053825;
8000; 1.911; 2.062; 0.001; 0.0; 0.593; 431.67044931456843;
8100; 1.912; 2.083; 0.001; 0.0; 0.5924; 432.1610891468079;
8200; 1.912; 2.088; 0.001; 0.0; 0.6004; 426.35889864949917;
8300; 1.932; 2.146; 0.001; 0.0; 0.5935; 431.31602057478443;
8400; 1.915; 2.126; 0.001; 0.0; 0.6723; 380.7908395300606;
8500; 1.985; 2.104; 0.001; 0.0; 0.5996; 426.9206901556011;
8600; 1.973; 2.082; 0.001; 0.0; 0.5972; 428.6656326713767;
8700; 1.997; 2.114; 0.001; 0.0; 0.6544; 391.1804482242549;
8800; 2.012; 2.109; 0.001; 0.0; 0.6027; 424.77879646343985;
8900; 2.032; 2.109; 0.001; 0.0; 0.602; 425.270560874256;
9000; 2.062; 2.127; 0.001; 0.0; 0.6087; 420.5810835582978;
9100; 2.081; 2.137; 0.001; 0.0; 0.6036; 424.139675838292;
9200; 2.058; 2.139; 0.001; 0.0; 0.5924; 432.11743542234944;
9300; 2.07; 2.148; 0.001; 0.0; 0.6521; 392.56772653752444;
9400; 2.073; 2.161; 0.001; 0.0; 0.6187; 413.78354764818863;
9500; 2.067; 2.152; 0.001; 0.0; 0.598; 428.0763721970502;
9600; 2.055; 2.101; 0.001; 0.0; 0.5921; 432.32465161111867;
9700; 2.042; 2.076; 0.001; 0.0; 0.5991; 427.31145879969836;
9800; 2.074; 2.105; 0.001; 0.0; 0.5914; 432.8811677217155;
9900; 2.065; 2.12; 0.001; 0.0; 0.605; 423.1273095833795;
10000; 2.056; 2.117; 0.001; 0.0; 0.6243; 410.05268725468255;
10100; 2.059; 2.103; 0.001; 0.0; 0.6063; 422.23944688275793;
10200; 2.073; 2.13; 0.001; 0.0; 0.5991; 427.2954742349313;
10300; 2.07; 2.126; 0.001; 0.0; 0.6027; 424.78114910752754;
10400; 2.093; 2.134; 0.001; 0.0; 0.6049; 423.18267481863603;
10500; 2.092; 2.145; 0.001; 0.0; 0.6177; 414.4469986282134;
10600; 2.068; 2.12; 0.001; 0.0; 0.5996; 426.92187836719177;
10700; 2.021; 2.105; 0.001; 0.0; 0.5997; 426.8660395713298;
10800; 2.006; 2.115; 0.001; 0.0; 0.5999; 426.72167321474984;
10900; 2.033; 2.127; 0.001; 0.0; 0.5998; 426.8097064123107;
11000; 2.023; 2.109; 0.001; 0.0; 0.5982; 427.9226588915334;
11100; 2.026; 2.141; 0.001; 0.0; 0.6003; 426.48387690002744;
11200; 2.031; 2.063; 0.001; 0.0; 0.5952; 430.08870369176134;
11300; 2.036; 2.071; 0.001; 0.0; 0.5914; 432.870871468926;
11400; 2.049; 2.068; 0.001; 0.0; 0.6083; 420.82355610860174;
11500; 2.037; 2.049; 0.001; 0.0; 0.5976; 428.38259215432504;
11600; 2.036; 2.051; 0.001; 0.0; 0.5937; 431.2152084487098;
11700; 2.031; 1.977; 0.001; 0.0; 0.5932; 431.5507384949405;
11800; 1.927; 1.959; 0.001; 0.0; 0.5919; 432.4754474921469;
11900; 1.845; 2.018; 0.001; 0.0; 0.6013; 425.70927928406553;
12000; 1.865; 2.058; 0.001; 0.0; 0.6699; 382.148119069541;
12100; 1.86; 2.056; 0.001; 0.0; 0.5987; 427.62407823658634;
12200; 1.89; 2.092; 0.001; 0.0; 0.5892; 434.47881123264244;
12300; 1.863; 2.088; 0.001; 0.0; 0.6625; 386.44324252732747;
12400; 1.906; 2.037; 0.001; 0.0; 0.6049; 423.2225400877077;
12500; 1.958; 2.063; 0.001; 0.0; 0.599; 427.40415883832753;
12600; 1.987; 2.098; 0.001; 0.0; 0.6112; 418.84450852147836;
12700; 1.97; 2.073; 0.001; 0.0; 0.5959; 429.6132407108808;
12800; 1.97; 2.066; 0.001; 0.0; 0.6873; 372.49694853726834;
12900; 2.031; 2.105; 0.001; 0.0; 0.6167; 415.11546928218786;
13000; 2.002; 2.092; 0.001; 0.0; 0.6635; 385.8230981785777;
13100; 2.039; 2.106; 0.001; 0.0; 0.599; 427.3973537981435;
13200; 2.022; 2.123; 0.001; 0.0; 0.5932; 431.5252434644778;
13300; 2.038; 2.143; 0.001; 0.0; 0.6083; 420.8151448359759;
13400; 2.037; 2.127; 0.001; 0.0; 0.601; 425.9607442696686;
13500; 2.053; 2.121; 0.001; 0.0; 0.6137; 417.1414989702985;
13600; 2.019; 2.064; 0.001; 0.0; 0.5937; 431.19183092573525;
13700; 2.048; 2.088; 0.001; 0.0; 0.6651; 384.9015716291596;
13800; 2.021; 2.085; 0.001; 0.0; 0.6035; 424.15710069082337;
13900; 2.018; 2.098; 0.001; 0.0; 0.639; 400.6013539402871;
14000; 2.011; 2.07; 0.001; 0.0; 0.5951; 430.18140632630895;
14100; 2.023; 2.1; 0.001; 0.0; 0.6025; 424.9178152231553;
14200; 2.038; 2.108; 0.001; 0.0; 0.6043; 423.61391839249967;
14300; 2.072; 2.13; 0.001; 0.0; 0.6111; 418.9124867107658;
14400; 2.031; 2.108; 0.001; 0.0; 0.6145; 416.63067441718795;
14500; 2.043; 2.107; 0.001; 0.0; 0.6494; 394.19803044498553;
14600; 1.99; 2.073; 0.001; 0.0; 0.5959; 429.5974272369443;
14700; 1.982; 2.083; 0.001; 0.0; 0.6094; 420.06689980638635;
14800; 2.002; 2.12; 0.001; 0.0; 0.595; 430.2801837585876;
14900; 1.994; 2.086; 0.001; 0.0; 0.5914; 432.87122048642397;
15000; 1.987; 2.085; 0.001; 0.0; 0.5993; 427.15812430107644;
15100; 1.98; 2.047; 0.001; 0.0; 0.6093; 420.1632237476693;
15200; 2.033; 2.064; 0.001; 0.0; 0.5968; 428.93705253385383;
15300; 2.023; 2.045; 0.001; 0.0; 0.6119; 418.3984594246846;
15400; 2.027; 2.05; 0.001; 0.0; 0.6418; 398.86027209999907;
15500; 1.999; 2.032; 0.001; 0.0; 0.6113; 418.7701826339412;
15600; 2.021; 1.994; 0.001; 0.0; 0.5933; 431.510849641788;
15700; 1.966; 1.917; 0.001; 0.0; 0.596; 429.5060069297497;
15800; 1.793; 1.99; 0.001; 0.0; 0.6303; 406.18465493617884;
15900; 1.82; 2.026; 0.001; 0.0; 0.6331; 404.3494298582554;
16000; 1.838; 2.053; 0.001; 0.0; 0.5942; 430.8024055306824;
16100; 1.844; 2.062; 0.001; 0.0; 0.5948; 430.3822841879451;
16200; 1.834; 2.079; 0.001; 0.0; 0.5949; 430.3336424678715;
16300; 1.844; 2.06; 0.001; 0.0; 0.5963; 429.28603601352455;
16400; 1.916; 2.036; 0.001; 0.0; 0.6802; 376.3386011208053;
16500; 1.956; 2.075; 0.001; 0.0; 0.6034; 424.2814618706855;
16600; 1.958; 2.067; 0.001; 0.0; 0.5993; 427.19789230194476;
16700; 1.96; 2.073; 0.001; 0.0; 0.5955; 429.86675890606637;
16800; 1.979; 2.08; 0.001; 0.0; 0.591; 433.16372039134495;
16900; 1.978; 2.069; 0.001; 0.0; 0.5935; 431.31151593444577;
17000; 2.007; 2.108; 0.001; 0.0; 0.5947; 430.4364584761451;
17100; 2.007; 2.134; 0.001; 0.0; 0.5966; 429.0642328532839;
17200; 1.995; 2.099; 0.001; 0.0; 0.5965; 429.1606110094574;
17300; 2.009; 2.116; 0.001; 0.0; 0.5959; 429.62802392411123;
17400; 2.026; 2.12; 0.001; 0.0; 0.5934; 431.39348045486395;
17500; 1.997; 2.034; 0.001; 0.0; 0.6072; 421.60976013903115;
17600; 2.0; 2.054; 0.001; 0.0; 0.5889; 434.70484136340673;
17700; 1.991; 2.066; 0.001; 0.0; 0.6049; 423.2357189622477;
17800; 1.992; 2.048; 0.001; 0.0; 0.6001; 426.5994368645905;
17900; 1.984; 2.047; 0.001; 0.0; 0.5953; 430.00120701607125;
18000; 1.998; 2.073; 0.001; 0.0; 0.6447; 397.06890617083985;
18100; 1.991; 2.073; 0.001; 0.0; 0.6287; 407.2210847124912;
18200; 2.057; 2.102; 0.001; 0.0; 0.6003; 426.47405210827736;
18300; 2.017; 2.069; 0.001; 0.0; 0.6474; 395.45093498387246;
18400; 2.036; 2.097; 0.001; 0.0; 0.5975; 428.46071159935275;
18500; 1.969; 2.048; 0.001; 0.0; 0.5935; 431.3421840000257;
18600; 1.954; 2.036; 0.001; 0.0; 0.6671; 383.7537438388962;
18700; 1.974; 2.084; 0.001; 0.0; 0.5957; 429.7616346716116;
18800; 1.985; 2.063; 0.001; 0.0; 0.605; 423.13364583394906;
18900; 1.959; 2.066; 0.001; 0.0; 0.5978; 428.2640144607761;
19000; 1.955; 2.044; 0.001; 0.0; 0.6361; 402.4328017369488;
19100; 1.999; 2.042; 0.001; 0.0; 0.5976; 428.34619172901586;
19200; 1.998; 2.024; 0.001; 0.0; 0.6475; 395.3434807133505;
19300; 1.984; 2.005; 0.001; 0.0; 0.6256; 409.1745049665303;
19400; 1.984; 2.003; 0.001; 0.0; 0.5925; 432.07500758526277;
19500; 1.998; 2.035; 0.001; 0.0; 0.5979; 428.1866497264968;
19600; 2.006; 1.891; 0.001; 0.0; 0.6011; 425.908197491218;
19700; 1.786; 1.977; 0.001; 0.0; 0.6099; 419.7737618192381;
19800; 1.807; 2.01; 0.001; 0.0; 0.6006; 426.268343672363;
19900; 1.82; 2.014; 0.001; 0.0; 0.6122; 418.18873882663235;
19999; 1.819; 2.012; 0.001; 0.0; 0.5977; 428.3439703071095;
